epoch,exp_it,exp_iter,seg_and_cls,use_seg_ratio,case_id,s_acc,s_acc_fg,s_iou,s_bach,s_f1mic,s_f1mac
1,0,1,1,0.15,A02.svs_64_overlay_0.65_0.58_0.18_0.51_0.41_0.65.png,0.65,0.58,0.18,0.51,0.41,0.65
1,0,1,1,0.15,A03.svs_64_overlay_0.65_0.58_0.07_0.30_0.31_0.79.png,0.65,0.58,0.07,0.3,0.31,0.79
1,0,1,1,0.15,A04.svs_64_overlay_0.65_0.58_0.24_0.79_0.41_0.76.png,0.65,0.58,0.24,0.79,0.41,0.76
1,0,1,1,0.15,A05.svs_64_overlay_0.65_0.58_0.17_0.47_0.40_0.65.png,0.65,0.58,0.17,0.47,0.4,0.65
1,0,1,1,0.15,A07.svs_64_overlay_0.65_0.58_0.23_0.62_0.42_0.74.png,0.65,0.58,0.23,0.62,0.42,0.74
1,0,1,1,0.15,A09.svs_64_overlay_0.65_0.58_0.24_0.57_0.50_0.87.png,0.65,0.58,0.24,0.57,0.5,0.87
1,0,1,1,0.15,A10.svs_64_overlay_0.65_0.58_0.11_0.40_0.34_0.75.png,0.65,0.58,0.11,0.4,0.34,0.75
1,1,5,0,0.25,A02.svs_64_overlay_0.69_0.17_0.08_0.35_0.31_0.69.png,0.69,0.17,0.08,0.35,0.31,0.69
1,1,5,0,0.25,A03.svs_64_overlay_0.69_0.17_0.23_0.49_0.49_0.92.png,0.69,0.17,0.23,0.49,0.49,0.92
1,1,5,0,0.25,A04.svs_64_overlay_0.69_0.17_0.16_0.58_0.35_0.61.png,0.69,0.17,0.16,0.58,0.35,0.61
1,1,5,0,0.25,A05.svs_64_overlay_0.69_0.17_0.19_0.51_0.44_0.79.png,0.69,0.17,0.19,0.51,0.44,0.79
1,1,5,0,0.25,A07.svs_64_overlay_0.69_0.17_0.07_0.29_0.29_0.66.png,0.69,0.17,0.07,0.29,0.29,0.66
1,1,5,0,0.25,A09.svs_64_overlay_0.69_0.17_0.18_0.50_0.44_0.89.png,0.69,0.17,0.18,0.5,0.44,0.89
1,1,5,0,0.25,A10.svs_64_overlay_0.69_0.17_0.09_0.32_0.34_0.83.png,0.69,0.17,0.09,0.32,0.34,0.83
1,2,3,0,0.025,A02.svs_64_overlay_0.56_0.25_0.08_0.55_0.31_0.56.png,0.56,0.25,0.08,0.55,0.31,0.56
1,2,3,0,0.025,A03.svs_64_overlay_0.56_0.25_0.02_0.49_0.25_0.76.png,0.56,0.25,0.02,0.49,0.25,0.76
1,2,3,0,0.025,A04.svs_64_overlay_0.56_0.25_0.12_0.66_0.31_0.44.png,0.56,0.25,0.12,0.66,0.31,0.44
1,2,3,0,0.025,A05.svs_64_overlay_0.56_0.25_0.07_0.51_0.29_0.55.png,0.56,0.25,0.07,0.51,0.29,0.55
1,2,3,0,0.025,A07.svs_64_overlay_0.56_0.25_0.08_0.57_0.30_0.51.png,0.56,0.25,0.08,0.57,0.3,0.51
1,2,3,0,0.025,A09.svs_64_overlay_0.56_0.25_0.14_0.58_0.40_0.82.png,0.56,0.25,0.14,0.58,0.4,0.82
1,2,3,0,0.025,A10.svs_64_overlay_0.56_0.25_0.05_0.49_0.28_0.70.png,0.56,0.25,0.05,0.49,0.28,0.7
1,3,1,0,0.01,A02.svs_64_overlay_0.51_0.11_0.05_0.53_0.26_0.51.png,0.51,0.11,0.05,0.53,0.26,0.51
1,3,1,0,0.01,A03.svs_64_overlay_0.51_0.11_0.04_0.63_0.27_0.75.png,0.51,0.11,0.04,0.63,0.27,0.75
1,3,1,0,0.01,A04.svs_64_overlay_0.51_0.11_0.02_0.40_0.20_0.25.png,0.51,0.11,0.02,0.4,0.2,0.25
1,3,1,0,0.01,A05.svs_64_overlay_0.51_0.11_0.06_0.55_0.28_0.54.png,0.51,0.11,0.06,0.55,0.28,0.54
1,3,1,0,0.01,A07.svs_64_overlay_0.51_0.11_0.03_0.45_0.23_0.44.png,0.51,0.11,0.03,0.45,0.23,0.44
1,3,1,0,0.01,A09.svs_64_overlay_0.51_0.11_0.07_0.46_0.33_0.78.png,0.51,0.11,0.07,0.46,0.33,0.78
1,3,1,0,0.01,A10.svs_64_overlay_0.51_0.11_0.02_0.52_0.24_0.67.png,0.51,0.11,0.02,0.52,0.24,0.67
1,4,4,1,0.1,A02.svs_64_overlay_0.67_0.60_0.17_0.47_0.40_0.67.png,0.67,0.6,0.17,0.47,0.4,0.67
1,4,4,1,0.1,A03.svs_64_overlay_0.67_0.60_0.11_0.30_0.36_0.81.png,0.67,0.6,0.11,0.3,0.36,0.81
1,4,4,1,0.1,A04.svs_64_overlay_0.67_0.60_0.23_0.77_0.40_0.77.png,0.67,0.6,0.23,0.77,0.4,0.77
1,4,4,1,0.1,A05.svs_64_overlay_0.67_0.60_0.21_0.47_0.44_0.71.png,0.67,0.6,0.21,0.47,0.44,0.71
1,4,4,1,0.1,A07.svs_64_overlay_0.67_0.60_0.25_0.60_0.45_0.75.png,0.67,0.6,0.25,0.6,0.45,0.75
1,4,4,1,0.1,A09.svs_64_overlay_0.67_0.60_0.21_0.55_0.47_0.87.png,0.67,0.6,0.21,0.55,0.47,0.87
1,4,4,1,0.1,A10.svs_64_overlay_0.67_0.60_0.10_0.36_0.33_0.76.png,0.67,0.6,0.1,0.36,0.33,0.76
1,5,3,2,0.2,A02.svs_64_overlay_0.68_0.72_0.18_0.49_0.40_0.68.png,0.68,0.72,0.18,0.49,0.4,0.68
1,5,3,2,0.2,A03.svs_64_overlay_0.68_0.72_0.15_0.24_0.39_0.79.png,0.68,0.72,0.15,0.24,0.39,0.79
1,5,3,2,0.2,A04.svs_64_overlay_0.68_0.72_0.25_0.78_0.40_0.80.png,0.68,0.72,0.25,0.78,0.4,0.8
1,5,3,2,0.2,A05.svs_64_overlay_0.68_0.72_0.22_0.45_0.45_0.69.png,0.68,0.72,0.22,0.45,0.45,0.69
1,5,3,2,0.2,A07.svs_64_overlay_0.68_0.72_0.25_0.61_0.45_0.77.png,0.68,0.72,0.25,0.61,0.45,0.77
1,5,3,2,0.2,A09.svs_64_overlay_0.68_0.72_0.20_0.55_0.46_0.87.png,0.68,0.72,0.2,0.55,0.46,0.87
1,5,3,2,0.2,A10.svs_64_overlay_0.68_0.72_0.11_0.36_0.34_0.77.png,0.68,0.72,0.11,0.36,0.34,0.77
1,6,2,2,0.5,A02.svs_64_overlay_0.72_0.57_0.22_0.48_0.47_0.72.png,0.72,0.57,0.22,0.48,0.47,0.72
1,6,2,2,0.5,A03.svs_64_overlay_0.72_0.57_0.19_0.28_0.44_0.87.png,0.72,0.57,0.19,0.28,0.44,0.87
1,6,2,2,0.5,A04.svs_64_overlay_0.72_0.57_0.25_0.76_0.40_0.79.png,0.72,0.57,0.25,0.76,0.4,0.79
1,6,2,2,0.5,A05.svs_64_overlay_0.72_0.57_0.21_0.44_0.45_0.73.png,0.72,0.57,0.21,0.44,0.45,0.73
